epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3734.34,0.73347,0.46848,1.12356,0.92407,0.8942,0.94252,0.68118,1.00466,0.51974,1.47086,0.0011882,0.0011882,0.0011882
43,3824.13,0.73255,0.4697,1.11421,0.91804,0.90785,0.9496,0.68654,1.02079,0.52748,1.47099,0.0011684,0.0011684,0.0011684
44,3913.8,0.72549,0.47017,1.11454,0.91692,0.86633,0.93349,0.67233,1.04553,0.53016,1.46552,0.0011486,0.0011486,0.0011486
45,4002.03,0.7183,0.46436,1.11952,0.94604,0.89749,0.94834,0.6965,1.01545,0.50699,1.46573,0.0011288,0.0011288,0.0011288
46,4090.37,0.70578,0.45675,1.10613,0.91931,0.87372,0.9422,0.68396,1.01931,0.53728,1.45825,0.001109,0.001109,0.001109
47,4177.82,0.71444,0.44999,1.11444,0.89933,0.8842,0.93466,0.68596,1.02907,0.52648,1.48199,0.0010892,0.0010892,0.0010892
48,4266.84,0.70644,0.45628,1.11108,0.96166,0.86007,0.94432,0.6811,1.04254,0.52187,1.50519,0.0010694,0.0010694,0.0010694
49,4354.61,0.70038,0.45116,1.10956,0.96314,0.83276,0.94946,0.69069,1.03177,0.53229,1.48127,0.0010496,0.0010496,0.0010496
50,4442.21,0.6975,0.45126,1.10353,0.96512,0.85666,0.95082,0.69478,1.02021,0.51307,1.46184,0.0010298,0.0010298,0.0010298
51,4529.11,0.70437,0.4553,1.10705,0.92592,0.89584,0.94947,0.68882,1.01576,0.52201,1.46071,0.00101,0.00101,0.00101
52,4616.79,0.69146,0.4408,1.09392,0.93765,0.88055,0.93616,0.68372,1.02194,0.51391,1.44911,0.0009902,0.0009902,0.0009902
53,4704.42,0.68275,0.43939,1.0905,0.93531,0.88828,0.95516,0.69876,1.00847,0.52119,1.44518,0.0009704,0.0009704,0.0009704
54,4792.27,0.68078,0.42568,1.09093,0.93909,0.89448,0.95387,0.69538,1.0299,0.50448,1.4753,0.0009506,0.0009506,0.0009506
55,4879.85,0.67946,0.43171,1.08801,0.95057,0.88055,0.95389,0.69474,1.03133,0.48473,1.47377,0.0009308,0.0009308,0.0009308
56,4967.1,0.66724,0.42303,1.08041,0.92189,0.87713,0.94191,0.69515,1.02005,0.53023,1.46982,0.000911,0.000911,0.000911
57,5054.48,0.66581,0.42867,1.08663,0.9584,0.86499,0.95443,0.70437,1.01862,0.50193,1.48514,0.0008912,0.0008912,0.0008912
58,5141.34,0.67139,0.42308,1.0738,0.93833,0.87372,0.94909,0.69123,1.02927,0.51657,1.48751,0.0008714,0.0008714,0.0008714
59,5228.28,0.65863,0.41787,1.07709,0.93271,0.8942,0.94596,0.69535,1.00968,0.51531,1.4649,0.0008516,0.0008516,0.0008516
60,5315.9,0.66059,0.40959,1.07773,0.94955,0.88396,0.94958,0.70748,0.99424,0.49884,1.43163,0.0008318,0.0008318,0.0008318
61,5404.06,0.65677,0.41697,1.07742,0.93812,0.87959,0.93864,0.69539,1.01476,0.50681,1.46945,0.000812,0.000812,0.000812
62,5492.6,0.65154,0.40828,1.07131,0.96545,0.88055,0.95103,0.69048,1.02955,0.5068,1.47545,0.0007922,0.0007922,0.0007922
63,5581.1,0.63913,0.40025,1.06633,0.9488,0.88055,0.95345,0.69121,1.0209,0.51367,1.47218,0.0007724,0.0007724,0.0007724
64,5668.84,0.64556,0.40945,1.07107,0.95552,0.86689,0.94093,0.69576,1.01083,0.50526,1.4678,0.0007526,0.0007526,0.0007526
65,5757.26,0.64669,0.3988,1.06555,0.91655,0.8942,0.94715,0.69412,1.0174,0.52608,1.46889,0.0007328,0.0007328,0.0007328
66,5844.87,0.64727,0.40471,1.065,0.95324,0.86689,0.94397,0.69208,1.00577,0.50648,1.48066,0.000713,0.000713,0.000713
67,5931.68,0.64336,0.40505,1.06414,0.95218,0.88353,0.94499,0.70405,0.99953,0.49372,1.45101,0.0006932,0.0006932,0.0006932
68,6019.34,0.62801,0.39703,1.05904,0.95876,0.8728,0.9502,0.70183,1.00383,0.50471,1.46202,0.0006734,0.0006734,0.0006734
69,6107.81,0.62113,0.38927,1.04969,0.91936,0.89491,0.94458,0.69984,1.00855,0.5125,1.45124,0.0006536,0.0006536,0.0006536
70,6197.22,0.62315,0.39591,1.06007,0.94619,0.89078,0.95188,0.69584,1.01427,0.50684,1.50684,0.0006338,0.0006338,0.0006338
71,6284.52,0.62145,0.39203,1.05154,0.95506,0.88737,0.94812,0.70212,0.99696,0.50796,1.4589,0.000614,0.000614,0.000614
72,6371.51,0.61798,0.39324,1.05901,0.94977,0.87713,0.94718,0.70578,1.00024,0.51465,1.47427,0.0005942,0.0005942,0.0005942
73,6459.73,0.61828,0.39279,1.05577,0.90946,0.90102,0.94921,0.70323,1.01232,0.50365,1.47685,0.0005744,0.0005744,0.0005744
74,6547.44,0.60908,0.38822,1.05034,0.92596,0.89637,0.94876,0.7132,0.99903,0.50359,1.49361,0.0005546,0.0005546,0.0005546
75,6634.81,0.60626,0.3756,1.04407,0.9193,0.91126,0.95535,0.70737,0.98432,0.49015,1.45792,0.0005348,0.0005348,0.0005348
76,6722.89,0.58801,0.36739,1.04085,0.93311,0.90463,0.95358,0.70437,0.99396,0.49515,1.47077,0.000515,0.000515,0.000515
77,6810.02,0.59332,0.37154,1.03779,0.9659,0.87001,0.9533,0.71271,0.99654,0.48316,1.47307,0.0004952,0.0004952,0.0004952
78,6897.79,0.601,0.37727,1.04393,0.91233,0.90785,0.95149,0.70909,0.99419,0.49921,1.47625,0.0004754,0.0004754,0.0004754
79,6985.65,0.59372,0.3712,1.04181,0.94338,0.89761,0.95158,0.71034,0.9976,0.4906,1.49003,0.0004556,0.0004556,0.0004556
80,7073.29,0.58757,0.3716,1.04035,0.93041,0.90444,0.94981,0.70401,1.01281,0.50591,1.49216,0.0004358,0.0004358,0.0004358
81,7162.87,0.58511,0.37072,1.0404,0.92331,0.90397,0.94882,0.70593,0.99609,0.50878,1.48038,0.000416,0.000416,0.000416
82,7252.1,0.58185,0.36215,1.03402,0.92877,0.90102,0.95026,0.70993,0.98827,0.48814,1.46253,0.0003962,0.0003962,0.0003962
83,7341.28,0.58041,0.36662,1.0336,0.94696,0.91468,0.95856,0.71456,0.99643,0.49027,1.49404,0.0003764,0.0003764,0.0003764
84,7429.06,0.57203,0.35806,1.03186,0.93327,0.9215,0.95505,0.71236,1.00438,0.50238,1.49574,0.0003566,0.0003566,0.0003566
85,7516.58,0.57414,0.36134,1.02632,0.9236,0.90785,0.95334,0.71156,1.00661,0.49341,1.49729,0.0003368,0.0003368,0.0003368
86,7604.65,0.56367,0.35124,1.01847,0.92314,0.90102,0.95401,0.71173,1.00104,0.50569,1.48639,0.000317,0.000317,0.000317
87,7692.23,0.55878,0.34888,1.01931,0.94592,0.89552,0.9582,0.71274,0.99581,0.48977,1.47877,0.0002972,0.0002972,0.0002972
88,7780.09,0.57051,0.35581,1.02939,0.9328,0.90017,0.95072,0.70447,1.00246,0.50477,1.49932,0.0002774,0.0002774,0.0002774
89,7868.09,0.55367,0.34402,1.01605,0.94175,0.88282,0.95313,0.70862,1.00438,0.50636,1.50324,0.0002576,0.0002576,0.0002576
90,7955.24,0.56445,0.35113,1.02754,0.95925,0.88055,0.95408,0.70706,0.99488,0.50527,1.484,0.0002378,0.0002378,0.0002378
91,8066.32,0.48021,0.27363,0.96262,0.93089,0.89078,0.94812,0.70596,0.99784,0.49326,1.49526,0.000218,0.000218,0.000218
92,8151.21,0.4686,0.26183,0.95426,0.93135,0.90102,0.95275,0.70728,1.00325,0.50208,1.50245,0.0001982,0.0001982,0.0001982
93,8236.17,0.46399,0.25491,0.95198,0.94433,0.89078,0.95384,0.7099,1.00247,0.49699,1.49382,0.0001784,0.0001784,0.0001784
94,8336.4,0.45485,0.25161,0.9432,0.93209,0.88998,0.95188,0.70678,1.0085,0.50819,1.52334,0.0001586,0.0001586,0.0001586
95,8450.78,0.44823,0.24847,0.93891,0.93021,0.90984,0.95166,0.71157,1.00502,0.50337,1.51788,0.0001388,0.0001388,0.0001388
96,8567.12,0.44576,0.24532,0.94293,0.91969,0.90785,0.95679,0.71166,0.99293,0.50377,1.493,0.000119,0.000119,0.000119
97,8683.98,0.44346,0.24454,0.93813,0.92624,0.90006,0.95626,0.71383,1.00131,0.50258,1.50736,9.92e-05,9.92e-05,9.92e-05
98,8797.04,0.43844,0.24238,0.93315,0.92406,0.91366,0.95938,0.71757,0.99573,0.50608,1.50196,7.94e-05,7.94e-05,7.94e-05
99,8910.5,0.43463,0.23712,0.93867,0.92658,0.90453,0.95944,0.71509,0.99254,0.49919,1.49925,5.96e-05,5.96e-05,5.96e-05
100,9025.89,0.43345,0.23755,0.92954,0.9043,0.9215,0.95765,0.71712,0.9907,0.50158,1.50303,3.98e-05,3.98e-05,3.98e-05
